Code,Name,
118063,BAUMALU SA,
118065,LES DEUX APS,
118257,REMI SCALP CARE LTD,
118391,KELLY HUNTER TRADING LTD,
118392,WELCOME AB,
14482,EDWARD DILLON & CO WINES,
14492,BARRY AND FITZWILLIAM WINES,
14733,BOC GAS IRELAND LTD,
14883,ARYZTA FOOD SOLUTIONS,
151001,151 PRODUCTS,
15306,IRISH PRIDE FINE FOODS,
15505,NISBETS,
16206,SUNSHINE JUICE LTD,
16706,BLENDERS,
16873,PEMBERTON MARKETING INT LTD,
18516,MARTINS FOOD,
201001,2012 LTD,
21127,SHOES FOR CREWS EUR LTD,
21385,NUTRITICS,
23415,GREEN SAFFRON SPICES LTD,
27127,LE PATISSIER,
2BO001,2 B ORGANIC,
2CU001,2 CUTE LTD,
31C001,31 CHAPEL LANE,
3FE001,3FE COFFEE LTD,
42537,WINELAB LTD,
43325,GAHAN MEATS LTD,
44340,&K AMSTERDAM,
44355,ABCO KOVAX LTD,
44357,ABSOLUTEGRAPHICS,
44363,ACRYLIC DESIGN & FABRICATION,
44381,AIR PRODUCTS IRELAND LTD,
44441,ATLAS PRINT,
44459,BALL COLEGRAVE,
44480,BELLROY TRADING PTY LIMITED,
44508,BORD NA MONA PLC,
44510,BOXPAK,
44546,CAMPBELL PLANTS LIMITED,
44568,CCL LABELS,
44569,CELTIC SALES,
44572,CF GAYNOR LTD,
44594,CLONARN CLOVER,
44604,COMPLAS,
44609,CORCORAN GROUP,
44640,DALCASSIAN WINES LTD,
44674,DISTINCT DISTRIBUTION,
44685,DORAN NURSERIES LTD,
44757,FAIRWEATHER,
44764,FRANK DOYLE MEATS,
44784,FLOR COOP,
44820,GARDEN WORLD,
44825,GEBR Seuren,
44827,GENESIS LABELS LTD,
44866,GROEN DIREKT,
44908,HOGANS FARM,
44936,IMS LABELS,
44956,IRISH PAPERS,
44989,JMC PACKAGING,
45029,KELLS WHOLEMEAL LTD,
45079,LAWCO PACKAGING SYSTEMS,
45083,LEMONFIELD POTS,
45105,LOMOGRAPHY,
45118,M.A. HEALY & SONS LTD,
45120,MAC NEICE FRUIT LTD,
45157,MCDONNELLS LTD,
45204,MOULIN ROTY,
45259,O CONNERS NURSERIES,
45280,OSCAR TINTORI VIVAI DI TINTORI,
45318,PETER BYRNE,
45331,PLANTLINE BV,
45352,PRINT MEDIA,
45353,PRODUCTIONS SICAMUS,
45361,QUINOLA MOTHERGRAIN LTD,
45434,SCHRAM PLANTS LTD,
45494,SPECIMEN PLANTS,
45498,SPRINGFIELD NURSERIES,
45523,SUE DAVITT,
45603,DOLE / TOTAL PRODUCE,
45613,TULLY NURSERIES,
45629,VALEO FOODS,
45646,WALL & KEOGH,
45648,WATERMANS,
45656,WHARTONS NURSERIES,
45687,WOODLODGE PRODUCTS LTD,
45859,DRAYNES FARM,
46677,ANDARL FARM LTD,
47533,VF NORTHERN EUROPE,
47923,PROFIT PLANT BV,
48048,WATERMARK CARDS,
48087,EARTH ESSENCE LTD,
48088,DURROW MILLS LTD,
48248,DO NOT USE,
52574,MAMA NAGIS,
52609,AUNT NELLIES SWEET SHOP LITD,
52613,DELPAC,
52617,WHITE MAUSU LTD,
52651,D&M CAKES LTD (GRAHAMS BAKERY),
52654,RENTES PLANTS,
52868,THE CASTLE PANTRY LTD,
53655,VOLCANO COFFEE WORKS,
53863,HAZEL MOUNTAIN CHOCOLATE,
53865,TOTALLY HOT NI,
53868,STEWARTS SCOTLAND LTD,
53917,IZIPIZI,
54103,SISU JUICE CO LTD,
54122,PIP & PEAR,
54816,NEDAS TEA & COFFEE LTD,
55253,VOA FOODS LTD,
55409,CHOCOLATEY CLARE,
55410,HANCOCK & ABBERTON FIXX COFFEE,
55721,KILMOON CROSS NURSERIES LTD,
56386,ATTYFLIN LTD,
56862,BALLYNERRIN EGGS,
56868,DRINK BOTANICALS IRELAND,
57069,DRUMMOND HOUSE,
57080,YOUNG NURSERIES,
57311,MELLAS FUDGE,
57360,THE GOOD CROP COMPANY LTD,
57442,BALLYMAKENNY FARM LTD,
57676,LEDER INTER BV RINO & PELLE,
58196,SU URL - ALISEA,
58334,WICKOLOGY LTD - P.F.CANDLE CO,
58360,CHARBONNEL ET WALKER LTD,
58593,JOIS LUNDGREN (AGGCODDLER),
58595,MALLORY GRANT,
58972,LE TOY VAN LIMITED,
59002,IMBARRO HOME & FASHION BV,
59003,NATURELLE PRO BEAUTY,
59023,MATHIEU CHALLIERES,
59025,PAPERCHAIN JEWELLERY LTD,
59373,TALKING TABLES,
59414,KELLS BAY HOUSE & GARDEN LT,
59462,SUKHI'S INDIA,
59634,SPICE POTS LTD,
59993,SEIONT NURSERIES,
60169,FINEPRINT LTD,
61322,NO 1 ROSEMARY WATER,
61323,BUTTERCREAM DREAM / VEGAN INDU,
61408,PASTA DI LIGURIA,
61447,CORDELIA FOODS,
61449,BARRYS TEA,
61941,IKNOS LTD,
62167,GOOSE AND GANDER,
62304,KEELINGS F JUICES LTD,
62530,MUTONICS,
62577,WASI,
64401,HEALYS HONEY LTD,
64448,SEAN HUSSEY FRUIT VEG,
65689,THE GNOMES URBAN FARMERS,
65692,BUMBLEBEE FLOWER FARM LTD,
65853,NPP PACKAGING,
65898,FOOD NUTRITION & INNOVATION LT,
65987,FEIGHERYS FARM BEETROOT JUICE,
66140,PEMBROKE WINES LTD,
66600,SUPERBAKE LTD,
66818,NATURAL MILK COMPANY,
66957,JAMES AS FINLAY LTD,
67308,THE ETHICAL GARDENER,
67309,SUNSHINE BAKERY T/A WALSHS BAK,
69075,BALLYHOURA MOUNTAIN MUSHROOMS,
69113,ROHANS SAUCES,
69401,MELODY STREET FOODS LTD,
69486,THE ROLLING DONUT LTD.,
69614,SPICE KITCHEN,
69872,T/A MELTDOWN RETAIL,
6TH001,6TH SENSE GLOBAL DESIGNS,
